title,genre,subgenre,description,cast,age_rating,thumbnail
#주세요,예능,"게임, 버라이어티, 토크쇼","문제 주세요
2018년 7월 TV조선 신개념 퀴즈 버라이어티
이웃에게 힘이 되고
어마어마한 상품이 있는
1석2조 이 프로그램의 제목은?
1번 주세요, 2번 힘내세요
재미, 스릴, 감동
정답 궁금하신 분들은 본/방/사/수","김성주, 조우종",12세 이상,https://image.tving.com/upload/cms/caip/CAIP0400/P000593156.jpg/dims/resize/500
'끝까지! 바모스 레알 마드리드!' - Real Madrid: Until The End 시즌1,예능,다큐멘터리,놀라울 정도로 훌륭한 2021-2022시즌을 보낸 대표적인 축구팀과 동행하며 그들의 경기와 드러나지 않은 뒷이야기를 함께하는 여정. 팬들의 열광적인 응원에 힘입어 모든 예상을 깨고 그들을 믿지 않은 모든 사람을 잠재우는 모습을 담는다.,정보 없음,전체 이용가,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250210/0600/P001765754.jpg/dims/resize/500
'당신이 보지 못하는 나' - The Me You Can’t See 시즌1,예능,다큐멘터리,"오프라 윈프리와 해리 왕자가 정신 건강을 주제로 진솔한 대화를 나눈다. 전 세계 다양한 사람들의 이야기를 들어보며, 정신 질환에 대해 논의하고 깊이 이해하는 시간을 갖는다.",정보 없음,12세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250227/0543/P001765849.jpg/dims/resize/500
"'메시, 미국을 정복하다' - Messi Meets America 시즌1",예능,다큐멘터리,고객센터 (평일 09시~17시/점심시간 13시~14시)1:1 게시판 문의대표메일 : tving@cj.net전화번호(ARS) : 1670-1525 (챗봇/채팅 상담 연결),리오넬 메시,12세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20241219/0638/P001765748.jpg/dims/resize/500
'메시: 카타르 월드컵의 영웅' - Messi's World Cup: The Rise of a Legend 시즌1,예능,다큐멘터리,다섯 번의 월드컵을 거쳐 2022년 우승으로 정점을 찍은 전설적인 선수의 장대한 여정을 따라가 본다. 메시가 대표팀 커리어와 자신이 겪었던 어려움에 관해 마음속에 있는 이야기를 들려준다.,"리오넬 메시, 앙헬 디 마리아, 로드리고 데 폴, 에밀리아노 마르티네스, 엔소 페르난데스, 라이오넬 스칼로니, 세르히오 아구에로",12세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20241219/0638/P001765753.jpg/dims/resize/500
'메이크 오어 브레이크: 파도를 지배하는 자' - Make or Break 시즌1,예능,다큐멘터리,세계 우승을 노리며 경쟁하기 위해 세계를 다니는 프로 서퍼들의 세계를 조명한다. 이 다큐멘터리 시리즈는 처음으로 서퍼들의 삶 깊이 함께하며 그들의 투어 생활과 최고가 되기 위한 그들의 희생을 담는다.,정보 없음,12세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250307/0421/P001765777.jpg/dims/resize/500
'메이크 오어 브레이크: 파도를 지배하는 자' - Make or Break 시즌2,예능,다큐멘터리,세계 우승을 노리며 경쟁하기 위해 세계를 다니는 프로 서퍼들의 세계를 조명한다. 이 다큐멘터리 시리즈는 처음으로 서퍼들의 삶 깊이 함께하며 그들의 투어 생활과 최고가 되기 위한 그들의 희생을 담는다.,정보 없음,12세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250307/0420/P001765778.jpg/dims/resize/500
'베트남 전쟁: 미국은 어떻게 달라졌나' - Vietnam: The War That Changed America 시즌1,예능,다큐멘터리,고객센터 (평일 09시~17시/점심시간 13시~14시)1:1 게시판 문의대표메일 : tving@cj.net전화번호(ARS) : 1670-1525 (챗봇/채팅 상담 연결),에단 호크,15세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250210/0715/P001767182.jpg/dims/resize/500
'선사시대: 공룡이 지배하던 지구' - Prehistoric Planet 시즌1,예능,다큐멘터리,"존 패브로와 '살아 있는 지구' 제작자들이 만든 이 장대한 다큐멘터리에서는 전례 없는 경이로움을 경험할 수 있다. 웅장한 공룡과 특별한 생물들이 땅과 바다, 하늘을 누볐던 6,600만 년 전으로 거슬러 올라간다.",데이비드 애튼버러,전체 이용가,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250210/0725/P001765846.jpg/dims/resize/500
'선사시대: 공룡이 지배하던 지구' - Prehistoric Planet 시즌2,예능,다큐멘터리,"존 패브로와 '살아 있는 지구' 제작자들이 만든 이 장대한 다큐멘터리에서는 전례 없는 경이로움을 경험할 수 있다. 웅장한 공룡과 특별한 생물들이 땅과 바다, 하늘을 누볐던 6,600만 년 전으로 거슬러 올라간다.",데이비드 애튼버러,전체 이용가,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250210/0727/P001765845.jpg/dims/resize/500
'슈퍼 리그: 축구 전쟁' - Super League: The War For Football 시즌1,예능,다큐멘터리,고객센터 (평일 09시~17시/점심시간 13시~14시)1:1 게시판 문의대표메일 : tving@cj.net전화번호(ARS) : 1670-1525 (챗봇/채팅 상담 연결),정보 없음,12세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250307/0425/P001765758.jpg/dims/resize/500
'슈퍼 모델: 런웨이 위의 레전드' - The Super Models 시즌1,예능,다큐멘터리,"나오미 캠벨, 신디 크로포드, 린다 에반젤리스타, 크리스티 털링턴이 1980년대 패션 아이콘이 된 이후, 그들은 힘을 합쳐 패션계를 장악했다. 그들이 힘을 쟁취하고 세상을 바꾼 이야기가 시작된다.",정보 없음,15세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250210/0746/P001765784.jpg/dims/resize/500
'엔필드의 유령' - The Enfield Poltergeist 시즌1,예능,다큐멘터리,고객센터 (평일 09시~17시/점심시간 13시~14시)1:1 게시판 문의대표메일 : tving@cj.net전화번호(ARS) : 1670-1525 (챗봇/채팅 상담 연결),"크리스토퍼 에트리지, 올리비아 부스-포드, 폴라 벤슨, 다니엘 리, 샬롯 밀러, 톰 베번",15세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250307/0440/P001765770.jpg/dims/resize/500
'영광을 향하여: 2024 월드 시리즈' - Fight for Glory: 2024 World Series 시즌1,예능,다큐멘터리,"양키스와 다저스, 두 최강팀의 대결을 전에 없던 방식으로 경험한다. 슈퍼스타들, 감독들과 그들의 가족을 가까이에서 만나고 야구의 왕좌를 차지하기 위해 치러야 하는 희생을 목격한다.","오타니 쇼헤이, 프레디 프리먼, 무키 베츠, 야마모토 요시노부, 데이브 로버츠, 아론 저지, 후안 소토, 에런 분",전체 이용가,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250321/0301/P001769314.jpg/dims/resize/500
'온사이드: 메이저 리그 사커' - Onside: Major League Soccer 시즌1,예능,다큐멘터리,MLS를 이끄는 선수들과 인물들의 특별한 순간을 경기장 안팎에서 만난다. 짜릿한 순간들과 매혹적인 이야기들이 2024년을 잊을 수 없는 시즌으로 만들고 미래의 가능성을 보여 준다.,정보 없음,15세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250227/0542/P001768219.jpg/dims/resize/500
'옴니보어: 인간의 식탁' - Omnivore 시즌1,예능,다큐멘터리,"페루 염전부터 르완다 커피 숲까지, 사회를 세우고 신앙을 형성하며 인류의 역사를 영원히 바꾼 식재료들을 알아보고 기념하자. 세계적으로 유명한 셰프 르네 레제피가 내레이션을 한다.",르네 레드제피,12세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250210/0755/P001765769.jpg/dims/resize/500
'웰컴 투 케이팝: 아이돌 이야기' - K-pop Idols 시즌1,예능,다큐멘터리,고객센터 (평일 09시~17시/점심시간 13시~14시)1:1 게시판 문의대표메일 : tving@cj.net전화번호(ARS) : 1670-1525 (챗봇/채팅 상담 연결),정보 없음,15세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250210/0806/P001765761.jpg/dims/resize/500
'자연에 깃든 밤의 색깔' - Earth at Night In Colour 시즌1,예능,다큐멘터리,동물들의 어둠 속 생활을 최첨단 카메라 기술로 생생하게 포착한 다큐멘터리 시리즈. 이제껏 보지 못한 동물들의 신비로운 밤의 세계가 펼쳐진다. 톰 히들스턴이 영어 내레이션을 맡았다.,톰 히들스턴,전체 이용가,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250218/0119/P001765734.jpg/dims/resize/500
'자연에 깃든 밤의 색깔' - Earth at Night In Colour 시즌2,예능,다큐멘터리,동물들의 어둠 속 생활을 최첨단 카메라 기술로 생생하게 포착한 다큐멘터리 시리즈. 이제껏 보지 못한 동물들의 신비로운 밤의 세계가 펼쳐진다. 톰 히들스턴이 영어 내레이션을 맡았다.,톰 히들스턴,전체 이용가,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250218/0118/P001765733.jpg/dims/resize/500
'자이언트: 거대 동물의 생존 방식’ - Big Beasts 시즌1,예능,다큐멘터리,고객센터 (평일 09시~17시/점심시간 13시~14시)1:1 게시판 문의대표메일 : tving@cj.net전화번호(ARS) : 1670-1525 (챗봇/채팅 상담 연결),톰 히들스턴,전체 이용가,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250218/0123/P001765810.jpg/dims/resize/500
'작은 세상' - Tiny World 시즌1,예능,다큐멘터리,자연의 가장 작은 생명체들을 포착한 다큐멘터리 시리즈. 각 에피소드는 세상에 잘 알려지지 않은 작은 생명체들의 독특한 생존법과 경이로운 이야기를 생생하게 조명한다. 폴 러드 내레이션.,폴 러드,전체 이용가,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250224/0515/P001765699.jpg/dims/resize/500
'작은 세상' - Tiny World 시즌2,예능,다큐멘터리,자연의 가장 작은 생명체들을 포착한 다큐멘터리 시리즈. 각 에피소드는 세상에 잘 알려지지 않은 작은 생명체들의 독특한 생존법과 경이로운 이야기를 생생하게 조명한다. 폴 러드 내레이션.,폴 러드,전체 이용가,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250218/0116/P001765700.jpg/dims/resize/500
"'존 레논 살인 사건: 그날 밤, 무슨 일이 있었나?' - John Lennon: Murder Without A Trial 시즌1",예능,다큐멘터리,고객센터 (평일 09시~17시/점심시간 13시~14시)1:1 게시판 문의대표메일 : tving@cj.net전화번호(ARS) : 1670-1525 (챗봇/채팅 상담 연결),키퍼 서덜랜드,15세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250307/0450/P001765776.jpg/dims/resize/500
"'코트 위의 매직, 매직 존슨' - They Call Me Magic 시즌1",예능,다큐멘터리,"맨주먹으로 드림 팀을 거쳐 거물 사업가가 된 어빈 '매직' 존슨은 시대의 아이콘이다. 오바마 대통령, 래리 버드, 팻 라일리 등의 인터뷰를 바탕으로 이 다큐멘터리 시리즈는 한 전설적인 농구선수의 삶과 인생을 다룬다.","매직 존슨, 쿠키 존슨, 래리 버드, 버락 오바마, 스눕 독, 팻 라일리, 마이클 조던",12세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20241219/0639/P001765760.jpg/dims/resize/500
'홈' - Home 시즌1,예능,다큐멘터리,세계의 가장 창의적인 집들이 가진 획기적인 아이디어와 감동적인 이야기를 발견하라. 전 세계에 걸친 이 다큐멘터리 시리즈에서 집에 관한 관습적인 생각에 도전하고 어떻게 살아야 하는지를 고민하는 선구자들을 만나라.,정보 없음,전체 이용가,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250307/0511/P001765718.jpg/dims/resize/500
'홈' - Home 시즌2,예능,다큐멘터리,"세계에서 가장 창의적인 집들에 대한 특별한 이야기를 소개하는 다큐멘터리 시리즈. 집에 대한 기존의 생각을 깨고, 삶을 살아가는 새로운 방식을 제시하는 세계 각지의 선구자들을 만난다.",정보 없음,12세 이상,https://image.tving.com/ntgs/contents/CTC/caip/CAIP0400/ko/20250307/0511/P001765717.jpg/dims/resize/500
